name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gdynia,2024-05-24,17.8,13.8,15.7,17.8,13.8,15.7,13.6,87.5,0.032,100,12.5,rain,0,0,17.9,16.7,358.6,1020.6,63.2,23.9,127.7,10.9,4,,2024-05-24T04:26:21,2024-05-24T21:00:14,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-25,22.6,13.6,17.7,22.6,13.6,17.7,14.5,82.5,0,0,0,,0,0,21.6,17.3,105,1019.8,65.3,24,229.5,19.9,7,,2024-05-25T04:25:03,2024-05-25T21:01:44,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-26,21.9,14.9,18.8,21.9,14.9,18.8,14.3,75.7,0.202,100,8.33,rain,0,0,44.5,20.5,114.2,1020.9,72.6,39,178.4,15.6,6,,2024-05-26T04:23:47,2024-05-26T21:03:11,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12150099999,12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-27,27.1,15.6,20.9,26.6,15.6,20.9,12.3,59.9,0.422,100,8.33,rain,0,0,31.2,24.7,142.7,1019.6,41.6,45.7,220.2,19,7,,2024-05-27T04:22:34,2024-05-27T21:04:36,0.64,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-28,26.5,11.9,19.2,26.5,11.9,19.2,11.7,66.4,0.03,100,4.17,rain,0,0.2,33.2,28.1,145,1016.1,27.9,21.9,254.9,22.2,7,,2024-05-28T04:21:24,2024-05-28T21:06:00,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-29,17.8,13.5,15.3,17.8,13.5,15.3,12.5,83.7,0.039,100,12.5,rain,0,0,24.4,17.8,50.9,1015.1,62,36.8,150.8,13.1,7,,2024-05-29T04:20:17,2024-05-29T21:07:21,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12150099999,12120099999,12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-30,21.1,11.6,17,21.1,11.6,17,13.7,82.1,0.165,100,29.17,rain,0,0,23.3,21.2,79.7,1009.2,60.7,34.7,195.7,16.8,7,,2024-05-30T04:19:13,2024-05-30T21:08:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-05-31,21.5,13.5,18.1,21.5,13.5,18.1,14.6,81.1,0.247,100,12.5,rain,0,0,20.5,17.5,75.6,1009.1,58.2,33.4,175.1,15.2,6,,2024-05-31T04:18:13,2024-05-31T21:09:57,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-06-01,21.6,13.5,18.4,21.6,13.5,18.4,15.3,82.8,0,0,0,,0,0.2,18,17.5,9.4,1010.7,42.4,17.5,253.3,22,7,,2024-06-01T04:17:15,2024-06-01T21:11:11,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-06-02,22.3,14.8,18,22.3,14.8,18,15.1,83.9,0,0,0,,0,0,26,23.8,334.2,1010.5,40.1,22.6,241.3,20.8,8,,2024-06-02T04:16:20,2024-06-02T21:12:23,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-06-03,22.1,13,17.1,22.1,13,17.1,13.5,80.1,0,0,0,,0,0.3,46.1,28.3,276.1,1011.7,50.3,25.1,129.7,11.2,6,,2024-06-03T04:15:29,2024-06-03T21:13:32,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12150099999,12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-06-04,21,11.9,16.1,21,11.9,16.1,10.5,71.3,0,0,0,,0,0,34.9,24,319.2,1012.3,33,37.9,249,21.5,8,,2024-06-04T04:14:41,2024-06-04T21:14:39,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12142099999,12376599999,12136099999,EPGD,AV308,12135099999,12155099999"
Gdynia,2024-06-05,24,12,16.7,24,12,16.7,10.8,71.3,0.2,100,8.33,rain,0,0,41,40.7,252.2,1009.7,59.1,9.9,183.5,15.9,7,,2024-06-05T04:13:56,2024-06-05T21:15:43,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"EPGD,AV308"
Gdynia,2024-06-06,18,11,13.8,18,11,13.8,8.3,71.3,2.7,100,20.83,rain,0,0,27,20.5,324.7,1015.5,65.7,10,150.9,13.1,7,,2024-06-06T04:13:15,2024-06-06T21:16:44,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EPGD,AV308"
Gdynia,2024-06-07,15,7,12,15,6.2,11.8,6.5,71.7,0.1,100,4.17,rain,0,0,22.7,20.5,106.1,1016.8,48.6,10,96.3,8.3,4,,2024-06-07T04:12:37,2024-06-07T21:17:42,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"EPGD,AV308"
Gdynia,2024-06-08,21,9,15.8,21,8.5,15.6,7.2,60.5,0,0,0,,0,0,31.7,24.1,202,1012.4,59.4,10,178.9,15.2,8,,2024-06-08T04:12:03,2024-06-08T21:18:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPGD,AV308"
